               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029655,                   0,           6.135e-05,            0.018405,          3.1242e-05,          6.2291e-06,             0.10062,            0.023313,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.087356,            0.024096,                   0,             0.25893,               0.388,             0.27354,             0.05312,             0.07863,            0.016941,                   0,              0.0577,           0.0046995,           0.0046995
                   2,            0.073219,            0.019866,                   0,             0.61274,             0.67949,             0.65388,              0.2228,            0.065021,            0.016564,                   0,            0.036099,           0.0070986,           0.0070986
                   3,            0.068477,            0.018327,                   0,             0.23429,             0.71897,             0.21905,            0.061559,            0.070693,            0.014554,                   0,            0.014497,           0.0094972,           0.0094972
                   4,            0.064822,            0.016041,                   0,             0.53454,             0.63804,             0.64886,             0.17266,            0.067848,            0.015039,                   0,            0.009996,            0.009996,            0.009996
                   5,            0.058357,            0.014095,                   0,              0.1462,             0.63804,             0.14765,            0.031558,            0.094765,            0.023123,                   0,            0.009996,            0.009996,            0.009996
                   6,            0.055447,            0.012144,                   0,             0.24158,             0.80903,             0.23191,            0.067397,            0.078471,            0.014221,                   0,           0.0099951,           0.0099951,           0.0099951
                   7,            0.050927,            0.011622,                   0,             0.74777,              0.8912,             0.82633,             0.35462,            0.047456,             0.01384,                   0,           0.0099941,           0.0099941,           0.0099941
                   8,            0.049705,             0.01098,                   0,             0.15613,             0.77914,             0.13196,            0.036824,            0.088485,             0.01505,                   0,           0.0099931,           0.0099931,           0.0099931
                   9,            0.049429,            0.010322,                   0,             0.59832,             0.93865,              0.6747,             0.27701,            0.041449,              0.0129,                   0,           0.0099921,           0.0099921,           0.0099921
                  10,            0.049751,            0.010494,                   0,             0.55441,             0.84663,             0.63493,             0.24132,            0.044179,            0.011892,                   0,           0.0099911,           0.0099911,           0.0099911
                  11,            0.047113,            0.010552,                   0,             0.43034,             0.58896,              0.3445,            0.069529,            0.066004,            0.010952,                   0,           0.0099901,           0.0099901,           0.0099901
                  12,            0.044847,             0.01019,                   0,             0.50123,             0.84049,             0.48784,             0.15061,            0.051282,            0.012239,                   0,           0.0099891,           0.0099891,           0.0099891
                  13,            0.043605,           0.0099603,                   0,             0.50435,             0.82209,              0.5891,              0.2637,            0.041185,            0.011591,                   0,           0.0099881,           0.0099881,           0.0099881
                  14,            0.042917,           0.0099154,                   0,             0.80638,             0.86873,             0.80988,             0.30009,            0.046898,           0.0089442,                   0,           0.0099871,           0.0099871,           0.0099871
                  15,            0.043919,           0.0095204,                   0,             0.43267,             0.68311,             0.46124,             0.11709,            0.056351,            0.011155,                   0,           0.0099861,           0.0099861,           0.0099861
                  16,            0.042738,           0.0095771,                   0,             0.92006,             0.89571,             0.89898,              0.3407,            0.044328,           0.0082175,                   0,           0.0099851,           0.0099851,           0.0099851
                  17,            0.042833,           0.0095631,                   0,             0.32138,             0.79141,             0.30812,            0.090308,            0.064268,            0.012731,                   0,           0.0099842,           0.0099842,           0.0099842
                  18,            0.041231,           0.0094348,                   0,              0.2617,             0.76687,              0.2734,            0.075586,            0.074079,            0.012219,                   0,           0.0099832,           0.0099832,           0.0099832
                  19,            0.039775,           0.0097399,                   0,             0.29578,             0.69325,             0.26684,            0.075199,            0.071119,            0.011247,                   0,           0.0099822,           0.0099822,           0.0099822
                  20,             0.04063,            0.009593,                   0,             0.28964,             0.71542,             0.30382,            0.084706,            0.067832,            0.013007,                   0,           0.0099812,           0.0099812,           0.0099812
                  21,            0.040867,           0.0093531,                   0,             0.77113,              0.7362,               0.793,             0.24701,            0.054993,            0.010622,                   0,           0.0099802,           0.0099802,           0.0099802
                  22,            0.039606,           0.0095402,                   0,             0.43819,             0.46626,              0.3247,            0.086263,            0.068743,           0.0091991,                   0,           0.0099792,           0.0099792,           0.0099792
                  23,             0.04007,           0.0090716,                   0,             0.42287,             0.66258,             0.43275,             0.14955,            0.069058,           0.0092678,                   0,           0.0099782,           0.0099782,           0.0099782
                  24,            0.039159,           0.0090299,                   0,             0.14303,             0.38397,             0.16736,            0.052701,            0.087169,            0.012562,                   0,           0.0099772,           0.0099772,           0.0099772
                  25,            0.039325,           0.0089765,                   0,             0.35121,             0.57786,             0.31149,            0.074695,            0.067421,             0.01594,                   0,           0.0099762,           0.0099762,           0.0099762
                  26,            0.037977,           0.0086918,                   0,             0.50869,             0.49693,              0.3663,            0.077624,            0.069277,            0.010683,                   0,           0.0099753,           0.0099753,           0.0099753
                  27,            0.036911,            0.009289,                   0,             0.79887,             0.77974,             0.74519,             0.23308,            0.055665,           0.0088902,                   0,           0.0099743,           0.0099743,           0.0099743
                  28,            0.036343,           0.0090734,                   0,              0.4441,             0.46626,             0.33483,            0.066725,            0.071321,            0.013489,                   0,           0.0099733,           0.0099733,           0.0099733
                  29,            0.036837,           0.0089167,                   0,             0.55968,             0.58282,             0.41909,            0.092445,            0.065565,           0.0090405,                   0,           0.0099723,           0.0099723,           0.0099723
                  30,             0.03608,           0.0083191,                   0,             0.37288,             0.37423,             0.28934,            0.065047,            0.075375,           0.0091416,                   0,           0.0099713,           0.0099713,           0.0099713
                  31,            0.035849,           0.0088358,                   0,             0.62053,             0.61198,             0.54587,             0.16082,            0.060557,            0.009133,                   0,           0.0099703,           0.0099703,           0.0099703
                  32,            0.034964,           0.0086998,                   0,             0.52074,             0.50307,             0.37411,            0.093836,            0.072789,            0.010097,                   0,           0.0099693,           0.0099693,           0.0099693
                  33,            0.035523,            0.008134,                   0,             0.48852,              0.6319,             0.41302,             0.11515,            0.063627,            0.011516,                   0,           0.0099683,           0.0099683,           0.0099683
                  34,            0.035514,           0.0083356,                   0,             0.68534,             0.68148,             0.60035,             0.17591,            0.059499,           0.0091368,                   0,           0.0099673,           0.0099673,           0.0099673
                  35,            0.036417,           0.0088807,                   0,             0.57609,             0.57055,             0.56823,             0.16936,            0.063307,            0.008688,                   0,           0.0099663,           0.0099663,           0.0099663
                  36,            0.035477,            0.008754,                   0,             0.59543,             0.42437,             0.49921,             0.15742,            0.068875,            0.010064,                   0,           0.0099654,           0.0099654,           0.0099654
                  37,            0.034964,           0.0084914,                   0,             0.34779,              0.4908,             0.32628,            0.080361,            0.078779,           0.0094999,                   0,           0.0099644,           0.0099644,           0.0099644
                  38,            0.034585,           0.0085393,                   0,              0.2944,             0.37423,             0.27823,            0.074698,             0.07614,            0.014151,                   0,           0.0099634,           0.0099634,           0.0099634
                  39,            0.034488,           0.0082228,                   0,             0.17619,             0.50307,             0.21974,            0.063037,            0.079982,             0.01365,                   0,           0.0099624,           0.0099624,           0.0099624
                  40,            0.034134,           0.0084181,                   0,             0.59909,             0.70552,             0.59609,             0.15481,            0.058229,            0.012599,                   0,           0.0099614,           0.0099614,           0.0099614
                  41,            0.033508,            0.008325,                   0,             0.53891,             0.53374,             0.42713,             0.12407,            0.067969,            0.009553,                   0,           0.0099604,           0.0099604,           0.0099604
                  42,            0.033208,           0.0084193,                   0,             0.38669,             0.39455,             0.29331,            0.071821,            0.077489,           0.0098527,                   0,           0.0099594,           0.0099594,           0.0099594
                  43,            0.034981,           0.0083067,                   0,             0.84145,             0.82822,             0.77613,             0.22218,            0.057823,           0.0085977,                   0,           0.0099584,           0.0099584,           0.0099584
                  44,            0.031549,           0.0081759,                   0,             0.51203,               0.515,             0.47041,             0.12155,            0.067577,           0.0094357,                   0,           0.0099574,           0.0099574,           0.0099574
                  45,            0.031175,           0.0083186,                   0,             0.49221,             0.48466,             0.36513,            0.092135,            0.072692,           0.0097167,                   0,           0.0099564,           0.0099564,           0.0099564
                  46,            0.032891,           0.0082494,                   0,             0.34333,             0.34356,             0.25436,            0.070792,            0.077975,            0.010287,                   0,           0.0099555,           0.0099555,           0.0099555
                  47,            0.033635,           0.0080702,                   0,             0.18836,             0.21472,             0.19701,            0.055546,            0.086593,           0.0096957,                   0,           0.0099545,           0.0099545,           0.0099545
                  48,            0.031857,           0.0082642,                   0,             0.83285,              0.7948,             0.78418,             0.25758,            0.054764,           0.0095447,                   0,           0.0099535,           0.0099535,           0.0099535
                  49,             0.03218,           0.0082032,                   0,             0.58236,             0.80982,              0.6435,             0.21156,            0.048975,            0.013053,                   0,           0.0099525,           0.0099525,           0.0099525
                  50,            0.031182,           0.0083008,                   0,             0.75449,              0.7362,             0.61381,             0.21106,            0.052622,           0.0090618,                   0,           0.0099515,           0.0099515,           0.0099515
                  51,            0.032087,           0.0080508,                   0,             0.58487,             0.57669,             0.41401,            0.094712,            0.065945,           0.0093104,                   0,           0.0099505,           0.0099505,           0.0099505
                  52,            0.031243,           0.0079878,                   0,             0.66834,             0.65644,             0.50944,             0.16953,            0.060412,           0.0089696,                   0,           0.0099495,           0.0099495,           0.0099495
                  53,             0.03207,           0.0080704,                   0,             0.62101,              0.6135,             0.54568,             0.17551,            0.062048,           0.0092586,                   0,           0.0099485,           0.0099485,           0.0099485
                  54,            0.031083,           0.0082073,                   0,            0.090542,             0.68712,              0.1106,            0.031485,            0.085801,            0.012135,                   0,           0.0099475,           0.0099475,           0.0099475
                  55,             0.03129,           0.0079689,                   0,             0.64511,             0.63567,             0.52579,             0.14994,            0.061583,            0.010135,                   0,           0.0099465,           0.0099465,           0.0099465
                  56,            0.031038,           0.0080667,                   0,             0.73761,             0.74233,                0.62,             0.19216,            0.057223,           0.0095431,                   0,           0.0099456,           0.0099456,           0.0099456
                  57,            0.030317,           0.0076127,                   0,             0.55967,             0.54584,             0.48209,             0.12904,            0.067198,            0.010342,                   0,           0.0099446,           0.0099446,           0.0099446
                  58,            0.030116,           0.0078077,                   0,             0.76014,             0.76074,             0.62821,             0.19654,             0.05698,           0.0088154,                   0,           0.0099436,           0.0099436,           0.0099436
                  59,            0.029875,           0.0078003,                   0,             0.55768,             0.55828,             0.44896,              0.1094,            0.067937,           0.0097307,                   0,           0.0099426,           0.0099426,           0.0099426
                  60,            0.028926,            0.007605,                   0,             0.28926,             0.28834,             0.21504,            0.056831,            0.081163,             0.01011,                   0,           0.0099416,           0.0099416,           0.0099416
                  61,            0.030731,           0.0082756,                   0,             0.45725,             0.46516,             0.31863,             0.10908,            0.071002,           0.0095151,                   0,           0.0099406,           0.0099406,           0.0099406
                  62,            0.029932,           0.0077714,                   0,             0.52137,             0.51459,              0.4056,             0.12572,             0.06828,           0.0095501,                   0,           0.0099396,           0.0099396,           0.0099396
                  63,            0.030687,           0.0078874,                   0,             0.49998,             0.48462,             0.41042,             0.12078,            0.068435,           0.0093886,                   0,           0.0099386,           0.0099386,           0.0099386
                  64,             0.02892,           0.0078085,                   0,              0.5826,             0.49693,             0.47984,              0.1442,            0.069724,           0.0094271,                   0,           0.0099376,           0.0099376,           0.0099376
                  65,            0.029666,           0.0079615,                   0,             0.54424,             0.52761,             0.38951,             0.10127,            0.068087,           0.0093788,                   0,           0.0099366,           0.0099366,           0.0099366
                  66,            0.028649,           0.0077492,                   0,             0.69765,             0.60123,             0.57769,             0.18374,            0.061093,           0.0091572,                   0,           0.0099357,           0.0099357,           0.0099357
                  67,            0.028898,           0.0077922,                   0,             0.66184,             0.65031,             0.51621,             0.17772,            0.061466,           0.0088456,                   0,           0.0099347,           0.0099347,           0.0099347
                  68,            0.029541,           0.0074096,                   0,              0.5938,             0.57055,             0.49761,             0.17788,            0.065305,           0.0096242,                   0,           0.0099337,           0.0099337,           0.0099337
                  69,            0.029478,           0.0076724,                   0,             0.63443,             0.60123,             0.56742,             0.20246,            0.063657,           0.0097917,                   0,           0.0099327,           0.0099327,           0.0099327
                  70,            0.030266,           0.0079264,                   0,             0.59338,             0.58282,             0.43656,             0.13659,            0.066364,           0.0094179,                   0,           0.0099317,           0.0099317,           0.0099317
                  71,            0.028657,           0.0074965,                   0,             0.25491,             0.25153,             0.12993,            0.027407,            0.082331,            0.012049,                   0,           0.0099307,           0.0099307,           0.0099307
                  72,            0.028778,           0.0075749,                   0,             0.54154,             0.54351,             0.41432,             0.12341,            0.068531,            0.010512,                   0,           0.0099297,           0.0099297,           0.0099297
