               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029655,                   0,           6.135e-05,            0.018405,          3.1242e-05,          6.2291e-06,             0.10062,            0.023313,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.087597,            0.024171,                   0,             0.51198,             0.14724,             0.34723,            0.083673,            0.070869,            0.018679,                   0,            0.057467,           0.0044673,           0.0044673
                   2,             0.07365,            0.019675,                   0,             0.44539,             0.62577,             0.47097,             0.15913,            0.071465,              0.0156,                   0,            0.035397,           0.0063971,           0.0063971
                   3,            0.068155,            0.018022,                   0,             0.41037,              0.6234,             0.54032,             0.15865,             0.06863,            0.013239,                   0,            0.013089,           0.0080892,           0.0080892
                   4,            0.063419,            0.016334,                   0,              0.7201,             0.55215,             0.69659,             0.27341,            0.060281,            0.012408,                   0,             0.00802,             0.00802,             0.00802
                   5,            0.057146,            0.014193,                   0,             0.52982,             0.80368,             0.71593,             0.25999,             0.06239,            0.020081,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.051402,            0.011956,                   0,             0.63009,             0.51206,              0.5118,              0.1421,            0.068339,            0.012221,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.049407,            0.011398,                   0,             0.75763,             0.87117,             0.81364,              0.2964,            0.056895,            0.012868,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.047256,            0.010789,                   0,             0.77467,              0.7804,             0.85521,             0.33181,            0.046426,            0.016384,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.045214,            0.010037,                   0,             0.85523,             0.86985,             0.85113,               0.325,            0.047675,           0.0083717,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.045937,             0.01028,                   0,             0.51596,             0.74233,             0.53764,             0.19136,            0.059117,            0.011028,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.044132,            0.010268,                   0,             0.76166,             0.82346,             0.83577,             0.29015,            0.043821,            0.010658,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.042013,            0.010154,                   0,             0.76276,             0.79141,             0.76923,             0.28422,            0.051584,           0.0084817,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.040401,           0.0096278,                   0,             0.73118,             0.71753,             0.74598,             0.26137,            0.053454,           0.0084162,                   0,             0.00406,             0.00406,             0.00406
                  14,             0.03859,           0.0094961,                   0,             0.43225,             0.66871,             0.37115,             0.11371,            0.076341,           0.0084124,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.038461,           0.0090676,                   0,             0.40093,             0.66258,             0.33321,            0.083388,            0.076099,           0.0088644,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.037048,           0.0092318,                   0,             0.93772,             0.92364,             0.91899,               0.342,            0.044863,           0.0080945,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.036314,           0.0090863,                   0,             0.59927,             0.62577,             0.71078,             0.28174,            0.053834,           0.0085665,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.036133,           0.0089449,                   0,             0.85619,             0.84009,             0.81979,             0.29555,            0.046609,           0.0079165,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.034274,           0.0091278,                   0,             0.92496,             0.90749,             0.86979,                0.29,            0.045523,           0.0079587,                   0,             0.00109,             0.00109,             0.00109
