               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054727,           0.0083611,                   0,                   0,                   0,                   0,                   0,            0.037104,           0.0007578,                   0,            0.070224,           0.0033085,           0.0033085
                   1,            0.039402,           0.0016887,                   0,                   0,                   0,                   0,                   0,            0.031542,          0.00047811,                   0,            0.039566,           0.0059843,           0.0059843
                   2,            0.037668,           0.0013787,                   0,                   0,                   0,                   0,                   0,            0.033488,          0.00046117,                   0,           0.0082488,               0.008,               0.008
                   3,            0.037838,            0.001279,                   0,                   0,                   0,                   0,                   0,            0.037877,           0.0004231,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.032841,           0.0012129,                   0,                   0,                   0,                   0,                   0,            0.027741,          0.00056708,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.027415,           0.0011628,                   0,          0.00010134,            0.053191,          5.3582e-05,          9.5608e-06,            0.027943,           0.0005289,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.027227,           0.0012395,                   0,                   0,                   0,                   0,                   0,            0.029529,           0.0004183,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.025929,           0.0012802,                   0,          0.00015317,            0.021277,          7.8363e-05,           3.522e-05,             0.02686,          0.00050159,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.026227,             0.00124,                   0,          0.00013531,            0.031915,          6.9859e-05,          2.0811e-05,            0.026137,          0.00045182,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.022694,           0.0013121,                   0,          6.3975e-05,            0.010638,          3.2526e-05,          6.5052e-06,            0.023982,          0.00053528,                   0,             0.00208,             0.00208,             0.00208
