               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.039328,           0.0013561,                   0,            0.042317,             0.28723,             0.02875,           0.0059897,            0.025832,           0.0005091,                   0,            0.070221,           0.0033088,           0.0033088
                   1,            0.034915,           0.0011866,                   0,          0.00030995,             0.10638,          0.00028294,          6.9838e-05,            0.032542,          0.00043816,                   0,            0.039892,           0.0063134,           0.0063134
                   2,            0.035964,           0.0011343,                   0,          3.5088e-05,             0.10638,          2.2209e-05,          5.6163e-06,            0.028783,          0.00050524,                   0,            0.009233,           0.0089879,           0.0089879
                   3,            0.034064,           0.0011725,                   0,                   0,                   0,                   0,                   0,              0.0406,          0.00024971,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.032885,          0.00098192,                   0,            6.64e-05,             0.15957,           4.218e-05,          8.0814e-06,            0.029378,          0.00045627,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.031628,           0.0010546,                   0,          7.4674e-05,             0.17021,          4.4962e-05,          1.1457e-05,            0.028362,          0.00048185,                   0,             0.00802,             0.00802,             0.00802
                   6,             0.02933,           0.0011077,                   0,          0.00097718,             0.47872,          0.00080851,          0.00025754,            0.022215,          0.00060916,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.029069,           0.0010917,                   0,          0.00061103,             0.34043,          0.00048646,          0.00010107,            0.024925,          0.00048223,                   0,             0.00703,             0.00703,             0.00703
                   8,             0.02687,           0.0010963,                   0,          0.00084749,              0.2234,           0.0031505,           0.0005506,            0.027261,          0.00043753,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.025561,           0.0010162,                   0,          0.00054812,             0.28723,          0.00045902,          0.00016118,            0.023152,            0.000497,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.024629,           0.0010614,                   0,          0.00040228,            0.053191,          0.00035903,          7.3265e-05,             0.02945,          0.00048129,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.023547,           0.0010784,                   0,           0.0010239,             0.31915,           0.0013207,          0.00027584,            0.024615,          0.00052358,                   0,             0.00505,             0.00505,             0.00505
                  12,             0.02422,           0.0010739,                   0,          0.00037922,             0.18085,          0.00084497,          0.00023695,            0.026362,          0.00046476,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.023296,           0.0010961,                   0,          0.00076483,              0.2234,          0.00066095,          0.00024479,            0.023578,          0.00052212,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.021566,           0.0010844,                   0,          0.00095438,             0.21277,            0.001344,          0.00038903,            0.025268,          0.00046062,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.021652,           0.0010843,                   0,          0.00074909,              0.2234,           0.0016876,          0.00045349,            0.024136,          0.00048342,                   0,             0.00307,             0.00307,             0.00307
                  16,             0.02004,           0.0010951,                   0,           0.0013723,             0.24468,             0.01763,            0.002121,            0.022389,          0.00054036,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.020096,           0.0011491,                   0,          0.00074533,             0.17021,          0.00080737,          0.00043336,            0.024115,          0.00047781,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.019318,           0.0011655,                   0,           0.0012812,             0.31915,            0.025046,           0.0027011,            0.023338,           0.0005607,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.017683,           0.0010352,                   0,           0.0010652,             0.24468,           0.0063487,          0.00085053,            0.024711,          0.00052065,                   0,             0.00109,             0.00109,             0.00109
