               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029655,                   0,           6.135e-05,            0.018405,          3.1242e-05,          6.2291e-06,             0.10062,            0.023313,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.087626,            0.024104,                   0,             0.39553,             0.47239,              0.3669,            0.095334,             0.06962,            0.019107,                   0,            0.057695,           0.0046953,           0.0046953
                   2,            0.073983,             0.01971,                   0,             0.48239,             0.71779,             0.57862,             0.17175,            0.074682,            0.015168,                   0,            0.036086,           0.0070859,           0.0070859
                   3,            0.069352,            0.018168,                   0,             0.35169,             0.52147,             0.32829,              0.1008,            0.071712,            0.012996,                   0,            0.014472,           0.0094718,           0.0094718
                   4,            0.064923,            0.016112,                   0,             0.34109,             0.44143,             0.42587,             0.15682,            0.056919,            0.022219,                   0,           0.0099604,           0.0099604,           0.0099604
                   5,            0.058651,               0.014,                   0,             0.64306,             0.52147,             0.59039,             0.21022,             0.06309,            0.015149,                   0,           0.0099604,           0.0099604,           0.0099604
                   6,            0.055163,            0.011933,                   0,             0.48229,             0.65155,             0.42232,             0.10679,            0.064042,            0.017015,                   0,           0.0099505,           0.0099505,           0.0099505
                   7,            0.051915,            0.011638,                   0,             0.51018,             0.58282,              0.4379,             0.10994,            0.065064,            0.021727,                   0,           0.0099406,           0.0099406,           0.0099406
                   8,             0.05053,            0.011198,                   0,             0.41017,             0.50307,             0.44158,             0.16303,            0.059895,            0.014203,                   0,           0.0099307,           0.0099307,           0.0099307
                   9,            0.048974,            0.010651,                   0,             0.51228,             0.83126,             0.49958,              0.1935,            0.045332,            0.013351,                   0,           0.0099208,           0.0099208,           0.0099208
                  10,            0.050665,            0.010674,                   0,             0.32817,             0.63804,             0.33191,              0.1011,            0.062099,            0.012664,                   0,           0.0099109,           0.0099109,           0.0099109
                  11,            0.048013,            0.010598,                   0,             0.53629,             0.71779,             0.54167,             0.17562,            0.055392,            0.010817,                   0,            0.009901,            0.009901,            0.009901
                  12,            0.046026,            0.010744,                   0,             0.29933,             0.52761,             0.25564,            0.081152,            0.061735,            0.013482,                   0,           0.0098911,           0.0098911,           0.0098911
                  13,            0.044698,            0.010148,                   0,             0.46702,             0.55215,             0.42984,            0.091902,            0.061878,            0.013629,                   0,           0.0098812,           0.0098812,           0.0098812
                  14,            0.043766,            0.010146,                   0,             0.41512,             0.52147,             0.34805,            0.079464,            0.065046,            0.011911,                   0,           0.0098713,           0.0098713,           0.0098713
                  15,            0.045038,           0.0095933,                   0,             0.40373,              0.6135,             0.34399,            0.084742,            0.060939,            0.012106,                   0,           0.0098614,           0.0098614,           0.0098614
                  16,            0.042106,           0.0096526,                   0,             0.79902,             0.79755,             0.71269,             0.21576,            0.051932,           0.0091197,                   0,           0.0098515,           0.0098515,           0.0098515
                  17,            0.042293,           0.0096306,                   0,             0.25434,             0.68712,             0.23328,             0.06802,            0.079319,            0.010471,                   0,           0.0098416,           0.0098416,           0.0098416
                  18,            0.041905,           0.0095499,                   0,             0.54905,             0.74847,             0.63416,             0.17514,            0.050928,            0.012676,                   0,           0.0098317,           0.0098317,           0.0098317
                  19,            0.039019,           0.0096449,                   0,             0.35964,             0.42945,             0.28217,             0.06658,            0.073063,             0.01251,                   0,           0.0098218,           0.0098218,           0.0098218
