               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054804,           0.0083887,                   0,                   0,                   0,                   0,                   0,            0.033035,          0.00054076,                   0,            0.070221,           0.0033088,           0.0033088
                   1,             0.04334,           0.0017095,                   0,                   0,                   0,                   0,                   0,            0.028546,          0.00058263,                   0,            0.039563,           0.0059846,           0.0059846
                   2,             0.03797,           0.0013197,                   0,                   0,                   0,                   0,                   0,            0.031641,          0.00048636,                   0,           0.0082454,           0.0080003,           0.0080003
                   3,            0.033736,           0.0012863,                   0,                   0,                   0,                   0,                   0,            0.027237,          0.00054593,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.032542,            0.001097,                   0,                   0,                   0,                   0,                   0,            0.030702,          0.00047858,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.029762,           0.0011666,                   0,                   0,                   0,                   0,                   0,            0.026056,          0.00058195,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.027996,           0.0011908,                   0,          4.7685e-05,            0.010638,          2.5069e-05,          2.5069e-06,            0.027207,          0.00050952,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.027656,           0.0012122,                   0,                   0,                   0,                   0,                   0,            0.024486,          0.00065428,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.025077,           0.0012426,                   0,                   0,                   0,                   0,                   0,            0.025205,          0.00058333,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.022591,           0.0011625,                   0,                   0,                   0,                   0,                   0,            0.024554,          0.00059853,                   0,             0.00208,             0.00208,             0.00208
