               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.046033,            0.067507,            0.018081,             0.66652,              0.5991,             0.67547,             0.44898,            0.041357,            0.038002,            0.010609,              0.0937,              0.0007,              0.0007
                   1,            0.044895,            0.063879,            0.019521,             0.71837,             0.62925,             0.71674,             0.47784,            0.040563,            0.037119,           0.0093398,            0.086005,            0.001005,            0.001005
                   2,            0.045465,            0.072668,            0.018774,              0.7351,             0.64887,             0.73662,             0.48461,            0.040169,            0.036683,           0.0087862,            0.077782,            0.000782,            0.000782
