               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054804,           0.0083887,                   0,                   0,                   0,                   0,                   0,            0.033035,          0.00054076,                   0,            0.070221,           0.0033088,           0.0033088
                   1,            0.042317,           0.0017162,                   0,                   0,                   0,                   0,                   0,             0.03141,          0.00049764,                   0,            0.039892,           0.0063134,           0.0063134
                   2,             0.03875,           0.0012672,                   0,                   0,                   0,                   0,                   0,            0.031245,          0.00042925,                   0,            0.009233,           0.0089879,           0.0089879
                   3,            0.035604,           0.0012315,                   0,          9.0295e-05,            0.042553,          5.6838e-05,          1.3812e-05,            0.026654,          0.00054344,                   0,            0.008515,            0.008515,            0.008515
                   4,            0.033916,           0.0010763,                   0,                   0,                   0,                   0,                   0,            0.028507,          0.00049953,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.030913,           0.0011447,                   0,                   0,                   0,                   0,                   0,            0.027715,          0.00053713,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.031167,            0.001143,                   0,          0.00011393,            0.010638,          5.9145e-05,          1.1829e-05,            0.028126,          0.00058756,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.02974,           0.0011497,                   0,                   0,                   0,                   0,                   0,             0.02415,          0.00052967,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.028054,           0.0011446,                   0,                   0,                   0,                   0,                   0,            0.024777,          0.00053281,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.025585,           0.0010857,                   0,          0.00043426,             0.12766,          0.00024876,          5.6142e-05,            0.024557,          0.00056008,                   0,             0.00604,             0.00604,             0.00604
                  10,             0.02542,           0.0011637,                   0,          0.00027717,             0.06383,          0.00014753,          1.7102e-05,            0.027348,          0.00050389,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.024078,           0.0011786,                   0,          2.0131e-05,            0.010638,           1.022e-05,           2.044e-06,            0.030599,          0.00048812,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.023764,           0.0011824,                   0,          0.00092445,             0.11702,          0.00051957,          0.00026299,            0.025374,          0.00048122,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.022835,           0.0011993,                   0,          0.00043315,              0.1383,          0.00024653,          0.00010193,            0.024385,          0.00055221,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.022072,            0.001191,                   0,          0.00058051,             0.17021,          0.00036019,          0.00014478,            0.025259,          0.00056609,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.020843,           0.0012219,                   0,           0.0018839,             0.24468,           0.0011725,          0.00030682,            0.024073,          0.00061024,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.020762,           0.0012017,                   0,           0.0010357,              0.2234,          0.00072449,          0.00032769,            0.022813,          0.00057384,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.020333,           0.0012626,                   0,          0.00061451,             0.17021,          0.00040121,          0.00024049,            0.024195,          0.00047839,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.019508,            0.001298,                   0,           0.0014948,             0.20213,            0.001142,          0.00058789,            0.022043,           0.0005861,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.017793,           0.0011488,                   0,           0.0010359,             0.20213,          0.00072078,          0.00018576,            0.027545,          0.00051694,                   0,             0.00109,             0.00109,             0.00109
