               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11369,            0.029655,                   0,           6.135e-05,            0.018405,          3.1242e-05,          6.2291e-06,             0.10062,            0.023313,                   0,              0.0793,              0.0023,              0.0023
                   1,            0.088018,            0.024247,                   0,             0.55981,             0.21472,             0.38432,            0.096599,             0.07039,            0.018932,                   0,            0.057235,           0.0042347,           0.0042347
                   2,            0.073498,            0.019857,                   0,             0.28473,             0.53988,             0.33204,            0.090294,            0.081865,            0.014104,                   0,            0.034694,           0.0056942,           0.0056942
                   3,            0.066827,            0.018498,                   0,             0.28614,             0.56442,             0.30286,             0.11142,            0.065101,             0.01387,                   0,            0.011678,           0.0066785,           0.0066785
                   4,            0.062285,            0.016563,                   0,             0.52783,              0.6135,             0.49242,             0.13386,            0.064336,            0.011377,                   0,             0.00604,             0.00604,             0.00604
                   5,            0.056517,            0.014659,                   0,             0.56071,             0.73006,             0.64202,             0.19815,            0.063033,            0.012632,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.051813,             0.01257,                   0,              0.5055,             0.65851,             0.62515,              0.1796,            0.062398,             0.01551,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.04756,             0.01183,                   0,             0.79208,             0.91149,             0.89948,             0.36602,            0.047017,            0.012666,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.044434,            0.011132,                   0,             0.68141,             0.64298,             0.52727,              0.1328,            0.063551,           0.0093117,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.042921,            0.010334,                   0,             0.70842,             0.78528,             0.69472,             0.15457,            0.061388,           0.0091194,                   0,             0.00208,             0.00208,             0.00208
