               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.054804,           0.0083887,                   0,                   0,                   0,                   0,                   0,            0.033035,          0.00054076,                   0,            0.070221,           0.0033088,           0.0033088
                   1,             0.04291,           0.0016886,                   0,                   0,                   0,                   0,                   0,              0.0301,          0.00047938,                   0,             0.04022,           0.0066415,           0.0066415
                   2,            0.038792,           0.0012669,                   0,                   0,                   0,                   0,                   0,            0.027609,          0.00055385,                   0,            0.010219,           0.0099735,           0.0099735
                   3,            0.034278,           0.0012279,                   0,                   0,                   0,                   0,                   0,            0.033624,          0.00040394,                   0,            0.009997,            0.009997,            0.009997
                   4,            0.034024,           0.0010656,                   0,                   0,                   0,                   0,                   0,            0.028736,          0.00057089,                   0,            0.009997,            0.009997,            0.009997
                   5,            0.031642,           0.0011148,                   0,                   0,                   0,                   0,                   0,            0.025196,          0.00057982,                   0,            0.009996,            0.009996,            0.009996
                   6,            0.031524,           0.0011041,                   0,                   0,                   0,                   0,                   0,             0.02773,          0.00053972,                   0,           0.0099951,           0.0099951,           0.0099951
                   7,            0.032243,           0.0011407,                   0,                   0,                   0,                   0,                   0,            0.023687,          0.00053155,                   0,           0.0099941,           0.0099941,           0.0099941
                   8,            0.029777,           0.0011588,                   0,                   0,                   0,                   0,                   0,            0.027436,          0.00056254,                   0,           0.0099931,           0.0099931,           0.0099931
                   9,            0.028069,           0.0010801,                   0,                   0,                   0,                   0,                   0,            0.028417,          0.00059319,                   0,           0.0099921,           0.0099921,           0.0099921
                  10,            0.027574,           0.0011294,                   0,           0.0002238,            0.042553,          0.00043939,          5.6886e-05,            0.025036,          0.00055658,                   0,           0.0099911,           0.0099911,           0.0099911
                  11,            0.027202,           0.0011183,                   0,          5.2843e-05,            0.021277,          2.7015e-05,          1.2118e-05,            0.027069,          0.00058441,                   0,           0.0099901,           0.0099901,           0.0099901
                  12,            0.027201,           0.0011286,                   0,           0.0026565,              0.2234,           0.0017191,          0.00061346,            0.025205,          0.00053941,                   0,           0.0099891,           0.0099891,           0.0099891
                  13,            0.026222,            0.001144,                   0,           0.0012196,             0.29787,          0.00089727,          0.00034235,            0.022907,            0.000583,                   0,           0.0099881,           0.0099881,           0.0099881
                  14,            0.025329,           0.0011283,                   0,           0.0017723,             0.23404,           0.0014968,          0.00068896,            0.024409,          0.00052946,                   0,           0.0099871,           0.0099871,           0.0099871
                  15,            0.025139,           0.0011329,                   0,          0.00087919,             0.25532,          0.00058001,          0.00015287,            0.026259,          0.00049456,                   0,           0.0099861,           0.0099861,           0.0099861
                  16,            0.025104,           0.0011247,                   0,           0.0046752,             0.29787,            0.014076,           0.0040701,            0.024375,          0.00057023,                   0,           0.0099851,           0.0099851,           0.0099851
